condition_id,argmax_accuracy,bin,confidence_calibration_gap,count,display_name,framing,lower_probability_inclusive,mean_argmax_confidence,mean_probability_yes,observed_yes_rate,probability_calibration_gap,probability_field,upper_probability_exclusive,upper_probability_inclusive,weight
baseline.robust_4B.no_manual,1.0,4,0.3728853831378225,16,Baseline 4B — no manual,true_false,0.3,0.6271146168621775,0.37288538313782255,0.0,0.37288538313782255,boolean_prob_true,0.4,,0.005333333333333333
baseline.robust_4B.no_manual,0.9056603773584906,5,0.3688474939236208,212,Baseline 4B — no manual,true_false,0.4,0.5368128834348698,0.4631871165651302,0.09433962264150944,0.3688474939236207,boolean_prob_true,0.5,,0.07066666666666667
baseline.robust_4B.no_manual,0.20609756097560974,6,0.3497932430281201,820,Baseline 4B — no manual,true_false,0.5,0.5558908040037298,0.5558908040037298,0.20609756097560974,0.3497932430281201,boolean_prob_true,0.6,,0.2733333333333333
baseline.robust_4B.no_manual,0.3640816326530612,7,0.28585036024475224,1225,Baseline 4B — no manual,true_false,0.6,0.6499319928978134,0.6499319928978134,0.3640816326530612,0.28585036024475224,boolean_prob_true,0.7,,0.4083333333333333
baseline.robust_4B.no_manual,0.5,8,0.23881382373757898,642,Baseline 4B — no manual,true_false,0.7,0.738813823737579,0.738813823737579,0.5,0.23881382373757898,boolean_prob_true,0.8,,0.214
baseline.robust_4B.no_manual,0.5176470588235295,9,0.3101043696855438,85,Baseline 4B — no manual,true_false,0.8,0.8277514285090732,0.8277514285090732,0.5176470588235295,0.3101043696855438,boolean_prob_true,0.9,,0.028333333333333332
baseline.robust_4B.no_manual,,10,,0,Baseline 4B — no manual,true_false,0.9,,,,,boolean_prob_true,,1.0,0.0
baseline.robust_4B.with_manual,,1,,0,Baseline 4B — with manual,yes_no,0.0,,,,,verdict_prob_belongs,0.1,,0.0
baseline.robust_4B.with_manual,,2,,0,Baseline 4B — with manual,yes_no,0.1,,,,,verdict_prob_belongs,0.2,,0.0
baseline.robust_4B.with_manual,,3,,0,Baseline 4B — with manual,yes_no,0.2,,,,,verdict_prob_belongs,0.3,,0.0
baseline.robust_4B.with_manual,1.0,4,0.37272046434704165,4,Baseline 4B — with manual,yes_no,0.3,0.6272795356529584,0.37272046434704165,0.0,0.37272046434704165,verdict_prob_belongs,0.4,,0.0013333333333333333
baseline.robust_4B.with_manual,0.9722222222222222,5,0.4390142429518079,72,Baseline 4B — with manual,yes_no,0.4,0.5332079792704143,0.4667920207295857,0.027777777777777776,0.4390142429518079,verdict_prob_belongs,0.5,,0.024
baseline.robust_4B.with_manual,0.046610169491525424,6,0.5134139661272621,472,Baseline 4B — with manual,yes_no,0.5,0.5600241356187875,0.5600241356187875,0.046610169491525424,0.5134139661272621,verdict_prob_belongs,0.6,,0.15733333333333333
baseline.robust_4B.with_manual,0.13142857142857142,7,0.5204757662300717,1050,Baseline 4B — with manual,yes_no,0.6,0.6519043376586432,0.6519043376586432,0.13142857142857142,0.5204757662300717,verdict_prob_belongs,0.7,,0.35
baseline.robust_4B.with_manual,0.4857444561774023,8,0.26119346777717595,947,Baseline 4B — with manual,yes_no,0.7,0.7469379239545783,0.7469379239545783,0.4857444561774023,0.26119346777717595,verdict_prob_belongs,0.8,,0.31566666666666665
baseline.robust_4B.with_manual,0.8288888888888889,9,0.008202977062128247,450,Baseline 4B — with manual,yes_no,0.8,0.8370918659510171,0.8370918659510171,0.8288888888888889,0.008202977062128247,verdict_prob_belongs,0.9,,0.15
baseline.robust_4B.with_manual,1.0,10,0.08354802667754524,5,Baseline 4B — with manual,yes_no,0.9,0.9164519733224548,0.9164519733224548,1.0,0.08354802667754524,verdict_prob_belongs,,1.0,0.0016666666666666668
baseline.robust_4B.with_manual,,1,,0,Baseline 4B — with manual,true_false,0.0,,,,,boolean_prob_true,0.1,,0.0
baseline.robust_4B.with_manual,1.0,2,0.1910567786979117,12,Baseline 4B — with manual,true_false,0.1,0.8089432213020883,0.1910567786979118,0.0,0.1910567786979118,boolean_prob_true,0.2,,0.004
baseline.robust_4B.with_manual,0.8502495840266223,3,0.11958201748121644,601,Baseline 4B — with manual,true_false,0.2,0.7306675665454059,0.269332433454594,0.1497504159733777,0.1195820174812163,boolean_prob_true,0.3,,0.20033333333333334
baseline.robust_4B.with_manual,0.6792452830188679,4,0.02846655109885987,1643,Baseline 4B — with manual,true_false,0.3,0.650778731920008,0.34922126807999193,0.32075471698113206,0.02846655109885987,boolean_prob_true,0.4,,0.5476666666666666
baseline.robust_4B.with_manual,0.4874446085672083,5,0.07708388595722138,677,Baseline 4B — with manual,true_false,0.4,0.5645284945244297,0.4354715054755704,0.5125553914327917,0.07708388595722132,boolean_prob_true,0.5,,0.22566666666666665
baseline.robust_4B.with_manual,0.515625,6,0.016557497989575287,64,Baseline 4B — with manual,true_false,0.5,0.5321824979895753,0.5321824979895753,0.515625,0.016557497989575287,boolean_prob_true,0.6,,0.021333333333333333
baseline.robust_4B.with_manual,1.0,7,0.3945181366650965,3,Baseline 4B — with manual,true_false,0.6,0.6054818633349035,0.6054818633349035,1.0,0.3945181366650965,boolean_prob_true,0.7,,0.001
baseline.robust_4B.with_manual,,8,,0,Baseline 4B — with manual,true_false,0.7,,,,,boolean_prob_true,0.8,,0.0
baseline.robust_4B.with_manual,,9,,0,Baseline 4B — with manual,true_false,0.8,,,,,boolean_prob_true,0.9,,0.0
baseline.robust_4B.with_manual,,10,,0,Baseline 4B — with manual,true_false,0.9,,,,,boolean_prob_true,,1.0,0.0
interactive.rejudge_2B.ABA,0.9532208588957055,1,0.01318247734967859,1304,Interactive ABA — rejudged by 2B,yes_no,0.0,0.9400383815460269,0.059961618453973055,0.04677914110429448,0.013182477349678576,verdict_prob_belongs,0.1,,0.43466666666666665
interactive.rejudge_2B.ABA,0.6911942098914354,2,0.16591229846793754,829,Interactive ABA — rejudged by 2B,yes_no,0.1,0.857106508359373,0.14289349164062704,0.3088057901085645,0.16591229846793748,verdict_prob_belongs,0.2,,0.2763333333333333
interactive.rejudge_2B.ABA,0.2918454935622318,3,0.4633690727009083,466,Interactive ABA — rejudged by 2B,yes_no,0.2,0.7552145662631401,0.24478543373685985,0.7081545064377682,0.4633690727009084,verdict_prob_belongs,0.3,,0.15533333333333332
interactive.rejudge_2B.ABA,0.14583333333333334,4,0.5105710940934022,240,Interactive ABA — rejudged by 2B,yes_no,0.3,0.6564044274267355,0.3435955725732645,0.8541666666666666,0.5105710940934021,verdict_prob_belongs,0.4,,0.08
interactive.rejudge_2B.ABA,0.08771929824561403,5,0.470800414211015,114,Interactive ABA — rejudged by 2B,yes_no,0.4,0.558519712456629,0.441480287543371,0.9122807017543859,0.47080041421101493,verdict_prob_belongs,0.5,,0.038
interactive.rejudge_2B.ABA,0.9318181818181818,6,0.396854359702728,44,Interactive ABA — rejudged by 2B,yes_no,0.5,0.5349638221154538,0.5349638221154538,0.9318181818181818,0.396854359702728,verdict_prob_belongs,0.6,,0.014666666666666666
interactive.rejudge_2B.ABA,1.0,7,0.35645219355951097,3,Interactive ABA — rejudged by 2B,yes_no,0.6,0.643547806440489,0.643547806440489,1.0,0.35645219355951097,verdict_prob_belongs,0.7,,0.001
interactive.rejudge_2B.ABA,,8,,0,Interactive ABA — rejudged by 2B,yes_no,0.7,,,,,verdict_prob_belongs,0.8,,0.0
interactive.rejudge_2B.ABA,,9,,0,Interactive ABA — rejudged by 2B,yes_no,0.8,,,,,verdict_prob_belongs,0.9,,0.0
interactive.rejudge_2B.ABA,,10,,0,Interactive ABA — rejudged by 2B,yes_no,0.9,,,,,verdict_prob_belongs,,1.0,0.0
interactive.rejudge_2B.ABA,0.9652173913043478,1,0.046999795480565876,345,Interactive ABA — rejudged by 2B,true_false,0.0,0.9182175958237819,0.08178240417621799,0.034782608695652174,0.04699979548056581,boolean_prob_true,0.1,,0.115
interactive.rejudge_2B.ABA,0.8635743519781719,2,0.010179097470079834,1466,Interactive ABA — rejudged by 2B,true_false,0.1,0.8533952545080921,0.14660474549190794,0.1364256480218281,0.010179097470079834,boolean_prob_true,0.2,,0.4886666666666667
interactive.rejudge_2B.ABA,0.45738636363636365,3,0.3026721391680899,704,Interactive ABA — rejudged by 2B,true_false,0.2,0.7600585028044535,0.2399414971955464,0.5426136363636364,0.30267213916809,boolean_prob_true,0.3,,0.23466666666666666
interactive.rejudge_2B.ABA,0.2073170731707317,4,0.4523587134464001,328,Interactive ABA — rejudged by 2B,true_false,0.3,0.6596757866171318,0.34032421338286817,0.7926829268292683,0.45235871344640016,boolean_prob_true,0.4,,0.10933333333333334
interactive.rejudge_2B.ABA,0.0703125,5,0.48889000802616434,128,Interactive ABA — rejudged by 2B,true_false,0.4,0.5592025080261643,0.4407974919738356,0.9296875,0.4888900080261644,boolean_prob_true,0.5,,0.042666666666666665
interactive.rejudge_2B.ABA,0.9230769230769231,6,0.39380700397629786,26,Interactive ABA — rejudged by 2B,true_false,0.5,0.5292699191006253,0.5292699191006253,0.9230769230769231,0.39380700397629786,boolean_prob_true,0.6,,0.008666666666666666
interactive.rejudge_2B.ABA,1.0,7,0.3752174641596281,3,Interactive ABA — rejudged by 2B,true_false,0.6,0.6247825358403719,0.6247825358403719,1.0,0.3752174641596281,boolean_prob_true,0.7,,0.001
interactive.rejudge_2B.ABA,,8,,0,Interactive ABA — rejudged by 2B,true_false,0.7,,,,,boolean_prob_true,0.8,,0.0
interactive.rejudge_2B.ABA,,9,,0,Interactive ABA — rejudged by 2B,true_false,0.8,,,,,boolean_prob_true,0.9,,0.0
interactive.rejudge_2B.ABA,,10,,0,Interactive ABA — rejudged by 2B,true_false,0.9,,,,,boolean_prob_true,,1.0,0.0
interactive.rejudge_2B.ABA,0.6923076923076923,1,0.21561997123944276,13,Interactive ABA — rejudged by 2B,debater_ab_converted,0.0,0.907927663547135,0.09207233645286493,0.3076923076923077,0.21561997123944276,debater_prob_yes,0.1,,0.004333333333333333
interactive.rejudge_2B.ABA,0.6962025316455697,2,0.13944103725532053,632,Interactive ABA — rejudged by 2B,debater_ab_converted,0.1,0.8356435689008902,0.16435643109910986,0.3037974683544304,0.13944103725532053,debater_prob_yes,0.2,,0.21066666666666667
